.|thract|gas aktiverad
.|thrcut|gas avstängd
.|tohigh|för högt
.|tolow|för lågt
.|trnoff|elevläge av
.|trnon|elevläge på
.|rathi|stora utslag
.|ratlow|små utslag
.|ratmed|medelutslag















